wage,educ,exper,tenure
3.1,11,2,0
3.2,12,22,2
3,11,2,0
6,8,44,28
5.3,12,7,2
8.8,16,9,8
11,18,15,7
5,12,5,3
3.6,12,26,4
18,17,22,21
6.3,16,8,2
8.1,13,3,0
8.8,12,15,0
5.5,12,18,3
22,12,31,15
17,16,14,0
7.5,12,10,0
11,13,16,10
3.6,12,13,0
4.5,12,36,6
6.9,12,11,4
8.5,12,29,13
6.3,16,9,9
0.53,12,3,1
6,11,37,8
9.6,16,3,3
7.8,16,11,10
13,16,31,0
13,15,30,0
3.3,8,9,1
13,14,23,5
4.5,14,2,5
9.7,13,16,16
5,12,7,3
4.7,12,3,0
4.3,16,22,4
6.2,12,15,6
3.5,4,39,15
3,14,3,3
6.3,12,11,0
7.8,12,3,0
10,12,20,5
4.5,14,16,0
4,11,45,12
6.4,13,11,4
14,15,20,13
1.7,10,1,0
2.9,12,36,2
3.7,14,9,2
2.9,12,15,1
1.6,12,18,0
8.6,16,3,2
5,12,15,5
6,12,7,7
2.5,12,2,0
3.3,15,3,0
3.4,16,1,1
10,8,13,0
22,18,8,8
4.4,16,7,0
12,13,40,20
12,14,42,5
6.3,10,36,8
3.7,10,13,0
7.8,14,9,3
20,14,26,23
6.3,16,7,4
10,12,25,3
5.7,16,10,5
2,12,3,2
5.7,16,3,0
13,17,17,2
4.9,12,17,8
2.9,12,20,34
3.8,12,7,0
12,13,24,19
4,12,28,0
3.1,12,2,1
8.4,12,19,13
7.1,18,13,0
4.5,9,22,5
4.7,16,3,1
2.9,10,4,0
6.7,12,7,5
3.5,12,6,2
3.3,12,13,3
3.3,12,14,0
8,12,14,4
9.9,8,40,24
7.5,12,11,7
5.9,12,14,6
12,14,40,39
3,12,1,0
4.8,12,2,0
6.5,12,4,1
4,9,19,1
3.5,13,1,0
13,12,34,22
4.3,14,5,2
3.5,12,3,0
5.1,15,6,6
3.8,12,14,0
4.5,12,35,12
7.6,12,8,4
15,14,7,7
6.8,15,11,3
13,12,14,11
6.7,12,35,10
2.5,12,46,0
9.8,17,7,0
3.4,11,45,12
25,18,29,25
5.4,12,6,3
6.1,14,15,0
4.2,14,33,16
3.8,10,15,0
3.5,14,5,0
3.6,12,7,2
3.8,15,6,1
3,8,33,12
5,16,2,1
4.6,14,4,0
3,15,1,0
3.2,12,29,0
3.9,18,17,3
6.4,16,17,3
5.5,10,36,3
1.5,8,31,30
2.9,10,23,2
5,11,13,1
8.9,18,3,3
5,15,15,0
3.5,12,48,1
2.9,11,6,0
4.5,12,12,0
2.3,12,5,0
5,14,19,5
10,16,9,3
3.8,2,39,13
10,14,28,11
11,16,23,20
7.9,12,2,0
4.7,12,15,1
5.8,13,5,0
3.8,12,18,2
3.2,15,2,2
2,10,3,0
4.5,12,31,4
12,16,20,5
2.1,13,34,15
2.4,9,5,0
3.8,12,11,0
5.5,13,31,3
6.5,12,8,5
3.1,12,2,2
10,14,18,5
6.6,16,3,0
10,16,3,2
2.3,9,4,1
6.9,18,4,4
2.8,10,1,0
3.1,10,1,0
8,13,28,5
4.5,12,47,4
8.6,18,13,1
2,13,2,6
4.8,12,48,2
6.3,13,6,5
6,13,8,0
15,13,25,21
15,18,13,7
13,12,8,1
5.3,12,19,10
2.2,13,1,4
7.1,12,43,5
6.2,12,19,9
9,12,11,5
10,14,43,4
5.8,10,44,3
4,12,22,11
8.8,16,3,2
6.5,16,3,2
7.6,12,41,11
5,14,5,0
5,12,14,11
22,12,24,16
8.6,12,28,8
3.3,12,25,8
4.4,12,3,0
4.6,12,11,0
3.5,12,7,6
6.3,16,9,2
3.8,16,5,0
6.2,14,9,3
2.9,11,1,0
6.3,16,2,1
6.3,12,13,0
9.1,12,10,2
10,17,5,3
11,12,30,8
6.9,12,31,19
8.8,16,1,2
10,8,9,0
3,12,10,0
3,12,38,0
5.8,12,19,6
4.1,16,5,0
8,12,26,2
6.2,12,35,12
2.7,9,2,0
2.8,13,1,2
3,16,19,10
3,14,3,2
7.4,8,36,24
7.5,14,29,24
3.5,13,1,2
8.1,12,38,3
3.8,18,1,2
3.3,9,29,0
5.8,8,36,15
3.5,8,4,0
3.3,12,45,4
4,14,22,3
3.5,12,20,4
6.3,16,5,0
3,8,15,2
5.7,13,10,2
3,9,3,0
23,16,16,7
9,12,38,1
8.3,15,33,26
3,11,2,0
5.8,14,6,5
6.8,12,19,3
10,12,29,0
3,12,2,0
3.5,18,3,1
3.3,12,4,0
4,12,10,1
2.9,12,4,0
3.1,12,14,10
3.2,12,15,5
4.8,12,19,0
3,14,17,0
18,16,29,7
3.5,12,2,0
4.1,14,5,0
2,11,38,3
4.3,12,3,0
3,10,47,0
6.4,12,7,6
5.2,6,47,13
4.5,13,23,2
3.9,12,12,3
3.5,10,11,0
11,12,25,23
4.1,14,6,0
3,13,3,1
5.9,12,14,7
18,18,13,0
4,12,9,0
3,12,1,0
3.5,12,6,0
3,12,11,1
8.8,12,47,44
2.9,8,49,6
6.3,13,37,17
3.5,13,2,0
4.6,14,7,0
6,12,22,8
2.9,10,8,0
5.6,16,1,1
4,12,43,6
6,16,2,2
4.5,12,2,1
2.9,14,1,3
4.3,18,1,0
19,17,26,20
4.3,13,1,1
4.6,14,37,7
6.3,15,12,4
3,14,41,23
8.8,12,24,1
8.5,8,38,26
3.8,12,18,0
3.2,12,26,1
5,8,45,2
6.5,12,27,0
2,9,2,0
4.8,12,41,8
5.8,16,11,4
3.2,12,5,0
4.7,16,3,1
4.1,12,3,2
2.9,12,4,0
6,13,21,13
3.6,10,34,26
4,6,49,6
7,12,6,5
3,12,26,9
6.1,16,9,0
8.6,12,23,9
3,8,33,2
3.8,12,5,2
2.9,6,49,7
3,4,48,0
6.3,11,35,31
3.5,11,23,2
3,7,26,1
3.2,12,16,0
8,18,23,3
3.3,12,36,8
5.3,16,4,0
6.3,12,10,0
3.5,14,18,2
3,12,3,1
3,10,7,0
4.7,10,7,7
3.7,9,33,2
4,10,34,12
4,12,8,0
2.9,12,17,1
3,12,2,0
5.1,10,5,0
14,16,41,16
18,16,35,28
6.3,16,11,4
5.3,12,4,0
4.8,12,12,3
3.3,7,35,0
3,8,33,0
8.4,16,8,6
5.7,16,2,0
12,18,8,10
3.5,13,29,1
4.2,10,14,5
7,16,26,3
6,14,11,3
12,16,10,2
4.5,12,13,0
3,9,23,20
2.9,11,1,2
15,11,35,31
4,12,5,2
5.3,11,13,11
4,12,22,3
3.3,12,21,9
5.1,12,19,0
3.6,12,13,0
5,14,15,5
4.6,14,3,0
13,18,6,2
3.5,12,6,5
4.6,12,16,1
10,12,31,2
2.9,11,1,0
4.5,12,5,2
6.5,17,3,0
7.5,16,11,0
3.5,13,6,7
4.2,13,11,3
3.5,12,7,2
4.5,14,5,0
3.3,14,5,4
2.9,11,2,2
5.3,10,44,7
4.1,8,44,25
3.8,14,13,0
3.4,12,26,15
3,10,2,1
6.3,17,10,3
2.5,9,2,0
4.5,12,35,0
3.1,12,6,5
6.4,14,8,1
4.7,16,1,0
6.8,12,14,10
8.5,10,14,6
4.2,0,22,10
3.8,14,8,4
11,15,1,4
3.3,16,15,5
9.1,12,14,12
4.5,11,37,10
3,11,1,1
8.8,12,4,4
4.1,13,29,0
2.9,12,45,8
3.3,13,22,0
6.1,16,42,10
3,15,9,0
4.2,16,8,0
5.6,15,31,15
10,12,24,24
13,18,16,5
3.8,6,6,0
3.1,6,14,0
4.3,12,47,25
11,12,34,5
7.5,16,6,2
4.1,9,7,4
4.7,12,27,2
5,11,24,5
2.9,10,18,0
8,12,12,3
8.4,8,27,3
2.9,9,49,0
6.3,17,4,0
6.3,16,24,2
5.1,11,3,0
4,10,2,0
4.4,8,29,11
6.9,13,34,21
5.4,14,10,3
3,13,5,0
2.9,11,2,0
6.3,7,39,21
4.3,16,5,2
3.3,12,14,2
7.3,13,8,2
6.3,14,10,1
5.6,16,2,2
8.8,14,9,3
3.2,11,1,0
3,8,45,1
3,14,33,3
13,17,21,18
2.9,10,2,0
3.3,12,9,1
6.5,12,33,2
10,18,16,2
4.5,14,10,0
10,18,9,8
3.8,12,8,1
8.8,16,9,1
9.4,14,23,0
6.3,12,23,8
4,9,22,18
2.9,12,37,0
20,12,22,4
11,17,28,25
3.5,12,14,0
6,15,19,4
14,17,10,9
6.4,16,25,0
3.5,12,21,0
3,15,32,0
4.5,16,21,10
6.6,12,36,0
9.3,15,2,2
3,12,11,0
3.3,12,40,2
1.5,12,11,1
5.9,12,9,7
8,16,23,4
2.9,11,1,0
3.3,14,30,13
6.5,14,41,33
4,13,6,0
6,14,11,0
4.1,12,43,17
3.8,12,39,2
3,8,50,24
3.5,12,26,20
2.9,3,51,30
4.5,11,3,9
3.3,15,3,1
5.9,11,15,9
8,12,17,6
3,4,36,0
5,9,31,9
5.5,12,9,4
2.7,12,42,10
3,11,3,0
4.5,12,37,14
18,16,23,22
8.2,13,21,5
9.1,15,11,12
12,16,35,13
3.3,12,42,0
4.5,12,3,0
4.5,12,13,0
3.7,9,14,7
6.5,10,14,11
2.9,12,39,1
5.6,11,11,8
2.2,8,28,3
5,6,18,0
8.3,16,6,2
2.9,12,26,1
6.3,12,21,6
4.6,16,34,2
3.3,12,17,2
2.3,10,2,0
3.3,13,5,0
3.2,13,1,0
13,14,40,30
5.2,16,39,21
3.1,10,1,1
7.3,12,14,5
2.9,12,2,2
1.8,11,2,1
2.9,0,42,0
2.9,5,34,0
18,16,10,3
6.3,16,4,3
2.6,9,4,0
6.6,15,21,3
3.5,12,31,3
6.5,12,20,14
3,12,36,1
4.4,13,7,0
10,12,15,0
4.9,7,25,17
9,17,7,0
1.4,12,17,0
3.1,12,3,1
9.3,14,12,11
7.5,12,18,5
4.8,13,47,1
5.7,12,2,0
15,16,14,2
2.3,10,2,0
4.7,15,13,18
12,16,5,1
3.5,14,5,4